node,from,msg_id,hop,ttl,payload,timestamp
node91,172.20.0.28,cf634fc2-dc8d-403e-9167-49b403d6b056,8,3,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.5987875
node95,172.20.0.9,cf634fc2-dc8d-403e-9167-49b403d6b056,9,2,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.6034312
node91,172.20.0.28,cf634fc2-dc8d-403e-9167-49b403d6b056,8,3,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.6999347
node105,172.20.0.12,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.7020743
node95,172.20.0.9,cf634fc2-dc8d-403e-9167-49b403d6b056,9,2,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.704829
node109,172.20.0.24,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.705107
node105,172.20.0.12,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.802715
node100,172.20.0.12,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.8030636
node95,172.20.0.9,cf634fc2-dc8d-403e-9167-49b403d6b056,9,2,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.8059185
node109,172.20.0.24,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.8059602
node98,172.20.0.24,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.8061833
node105,172.20.0.12,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.9038558
node100,172.20.0.12,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.9038692
node109,172.20.0.24,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.9079237
node98,172.20.0.24,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643961.9079726
node105,172.20.0.12,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643962.0046299
node100,172.20.0.12,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643962.0047145
node109,172.20.0.24,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643962.008811
node98,172.20.0.24,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643962.0088942
node112,172.20.0.25,cf634fc2-dc8d-403e-9167-49b403d6b056,11,0,"{'temperature': 28.67, 'humidity': 51.88}",1746643962.0089915
node100,172.20.0.12,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643962.1057432
node115,172.20.0.17,cf634fc2-dc8d-403e-9167-49b403d6b056,11,0,"{'temperature': 28.67, 'humidity': 51.88}",1746643962.1068816
node98,172.20.0.24,cf634fc2-dc8d-403e-9167-49b403d6b056,10,1,"{'temperature': 28.67, 'humidity': 51.88}",1746643962.1097748
node93,172.20.0.32,cde5e888-6bc2-4138-a9d1-396d02d92524,7,4,"{'temperature': 20.72, 'humidity': 43.67}",1746643971.4984586
node93,172.20.0.32,cde5e888-6bc2-4138-a9d1-396d02d92524,7,4,"{'temperature': 20.72, 'humidity': 43.67}",1746643971.599748
node91,172.20.0.28,cde5e888-6bc2-4138-a9d1-396d02d92524,8,3,"{'temperature': 20.72, 'humidity': 43.67}",1746643971.70323
node93,172.20.0.32,cde5e888-6bc2-4138-a9d1-396d02d92524,7,4,"{'temperature': 20.72, 'humidity': 43.67}",1746643971.7036479
node93,172.20.0.32,cde5e888-6bc2-4138-a9d1-396d02d92524,7,4,"{'temperature': 20.72, 'humidity': 43.67}",1746643971.8047714
node95,172.20.0.19,cde5e888-6bc2-4138-a9d1-396d02d92524,8,3,"{'temperature': 20.72, 'humidity': 43.67}",1746643971.8049812
node91,172.20.0.28,cde5e888-6bc2-4138-a9d1-396d02d92524,8,3,"{'temperature': 20.72, 'humidity': 43.67}",1746643971.805087
node91,172.20.0.28,cde5e888-6bc2-4138-a9d1-396d02d92524,8,3,"{'temperature': 20.72, 'humidity': 43.67}",1746643971.9056954
node95,172.20.0.19,cde5e888-6bc2-4138-a9d1-396d02d92524,8,3,"{'temperature': 20.72, 'humidity': 43.67}",1746643971.9057999
node95,172.20.0.19,cde5e888-6bc2-4138-a9d1-396d02d92524,8,3,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.007184
node91,172.20.0.28,cde5e888-6bc2-4138-a9d1-396d02d92524,8,3,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.0072145
node109,172.20.0.24,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.0076551
node105,172.20.0.10,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.008238
node95,172.20.0.19,cde5e888-6bc2-4138-a9d1-396d02d92524,8,3,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.107939
node98,172.20.0.24,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.1081855
node109,172.20.0.24,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.1088665
node105,172.20.0.10,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.110468
node100,172.20.0.12,cde5e888-6bc2-4138-a9d1-396d02d92524,10,1,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.1105723
node98,172.20.0.24,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.208687
node109,172.20.0.24,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.20985
node100,172.20.0.12,cde5e888-6bc2-4138-a9d1-396d02d92524,10,1,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.2118394
node105,172.20.0.10,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.2128181
node98,172.20.0.24,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.3096495
node109,172.20.0.24,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.310928
node100,172.20.0.12,cde5e888-6bc2-4138-a9d1-396d02d92524,10,1,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.312807
node105,172.20.0.10,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.3137097
node112,172.20.0.25,cde5e888-6bc2-4138-a9d1-396d02d92524,11,0,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.3139362
node98,172.20.0.24,cde5e888-6bc2-4138-a9d1-396d02d92524,9,2,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.4107354
node100,172.20.0.12,cde5e888-6bc2-4138-a9d1-396d02d92524,10,1,"{'temperature': 20.72, 'humidity': 43.67}",1746643972.413817
node93,172.20.0.32,a96b3bdd-6e3b-40f8-942e-be3562850834,7,4,"{'temperature': 25.82, 'humidity': 57.66}",1746643981.8034937
node93,172.20.0.32,a96b3bdd-6e3b-40f8-942e-be3562850834,7,4,"{'temperature': 25.82, 'humidity': 57.66}",1746643981.9056082
node91,172.20.0.28,a96b3bdd-6e3b-40f8-942e-be3562850834,8,3,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.0082192
node93,172.20.0.32,a96b3bdd-6e3b-40f8-942e-be3562850834,7,4,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.0092633
node91,172.20.0.28,a96b3bdd-6e3b-40f8-942e-be3562850834,8,3,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.108885
node95,172.20.0.9,a96b3bdd-6e3b-40f8-942e-be3562850834,9,2,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.1098328
node93,172.20.0.32,a96b3bdd-6e3b-40f8-942e-be3562850834,7,4,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.1116369
node91,172.20.0.28,a96b3bdd-6e3b-40f8-942e-be3562850834,8,3,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.21005
node95,172.20.0.9,a96b3bdd-6e3b-40f8-942e-be3562850834,9,2,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.2111976
node91,172.20.0.28,a96b3bdd-6e3b-40f8-942e-be3562850834,8,3,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.3108575
node95,172.20.0.9,a96b3bdd-6e3b-40f8-942e-be3562850834,9,2,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.3119617
node105,172.20.0.10,a96b3bdd-6e3b-40f8-942e-be3562850834,9,2,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.3123176
node109,172.20.0.24,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.3123724
node95,172.20.0.9,a96b3bdd-6e3b-40f8-942e-be3562850834,9,2,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.4129822
node105,172.20.0.10,a96b3bdd-6e3b-40f8-942e-be3562850834,9,2,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.413113
node98,172.20.0.24,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.4132717
node109,172.20.0.24,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.414369
node100,172.20.0.12,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.4146767
node105,172.20.0.10,a96b3bdd-6e3b-40f8-942e-be3562850834,9,2,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.5222101
node98,172.20.0.24,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.5222967
node109,172.20.0.24,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.5228598
node100,172.20.0.12,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.523542
node98,172.20.0.24,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.6232293
node112,172.20.0.25,a96b3bdd-6e3b-40f8-942e-be3562850834,11,0,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.6234477
node105,172.20.0.10,a96b3bdd-6e3b-40f8-942e-be3562850834,9,2,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.6237578
node109,172.20.0.24,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.6239696
node100,172.20.0.12,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.624975
node98,172.20.0.24,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.7252228
node100,172.20.0.12,a96b3bdd-6e3b-40f8-942e-be3562850834,10,1,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.7259622
node115,172.20.0.17,a96b3bdd-6e3b-40f8-942e-be3562850834,11,0,"{'temperature': 25.82, 'humidity': 57.66}",1746643982.7262866
node24,172.19.0.11,8662ec42-65f6-42f0-917b-f317bfccb024,3,8,"{'temperature': 20.64, 'humidity': 49.97}",1746645596.4021459
node6,172.19.0.27,8662ec42-65f6-42f0-917b-f317bfccb024,3,8,"{'temperature': 20.64, 'humidity': 49.97}",1746645596.5018814
node24,172.19.0.11,8662ec42-65f6-42f0-917b-f317bfccb024,3,8,"{'temperature': 20.64, 'humidity': 49.97}",1746645596.5096927
node6,172.19.0.27,8662ec42-65f6-42f0-917b-f317bfccb024,3,8,"{'temperature': 20.64, 'humidity': 49.97}",1746645596.60475
node24,172.19.0.11,8662ec42-65f6-42f0-917b-f317bfccb024,3,8,"{'temperature': 20.64, 'humidity': 49.97}",1746645596.6107924
node6,172.19.0.27,8662ec42-65f6-42f0-917b-f317bfccb024,3,8,"{'temperature': 20.64, 'humidity': 49.97}",1746645596.7059028
node24,172.19.0.11,8662ec42-65f6-42f0-917b-f317bfccb024,3,8,"{'temperature': 20.64, 'humidity': 49.97}",1746645596.7117796
node6,172.19.0.27,8662ec42-65f6-42f0-917b-f317bfccb024,3,8,"{'temperature': 20.64, 'humidity': 49.97}",1746645596.8087716
node52,172.21.0.9,8662ec42-65f6-42f0-917b-f317bfccb024,5,6,"{'temperature': 20.64, 'humidity': 49.97}",1746645596.8104649
node52,172.21.0.9,8662ec42-65f6-42f0-917b-f317bfccb024,5,6,"{'temperature': 20.64, 'humidity': 49.97}",1746645596.9148245
node52,172.21.0.9,8662ec42-65f6-42f0-917b-f317bfccb024,5,6,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.0160115
node52,172.21.0.9,8662ec42-65f6-42f0-917b-f317bfccb024,5,6,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.1167607
node50,172.21.0.3,8662ec42-65f6-42f0-917b-f317bfccb024,8,3,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.323863
node50,172.21.0.3,8662ec42-65f6-42f0-917b-f317bfccb024,8,3,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.4267495
node50,172.21.0.3,8662ec42-65f6-42f0-917b-f317bfccb024,8,3,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.5277736
node64,172.20.0.24,8662ec42-65f6-42f0-917b-f317bfccb024,10,1,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.554865
node50,172.21.0.3,8662ec42-65f6-42f0-917b-f317bfccb024,8,3,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.6289048
node67,172.20.0.24,8662ec42-65f6-42f0-917b-f317bfccb024,10,1,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.6568282
node64,172.20.0.24,8662ec42-65f6-42f0-917b-f317bfccb024,10,1,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.6568878
node64,172.20.0.24,8662ec42-65f6-42f0-917b-f317bfccb024,10,1,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.7601457
node67,172.20.0.24,8662ec42-65f6-42f0-917b-f317bfccb024,10,1,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.7610016
node64,172.20.0.24,8662ec42-65f6-42f0-917b-f317bfccb024,10,1,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.8609953
node67,172.20.0.24,8662ec42-65f6-42f0-917b-f317bfccb024,10,1,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.8628016
node67,172.20.0.24,8662ec42-65f6-42f0-917b-f317bfccb024,10,1,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.9640324
node78,172.20.0.14,8662ec42-65f6-42f0-917b-f317bfccb024,11,0,"{'temperature': 20.64, 'humidity': 49.97}",1746645597.964175
node84,172.20.0.26,8662ec42-65f6-42f0-917b-f317bfccb024,11,0,"{'temperature': 20.64, 'humidity': 49.97}",1746645598.0650306
node24,172.19.0.11,b31337a0-96a4-4e13-b759-bb4101207e75,3,8,"{'temperature': 27.75, 'humidity': 57.15}",1746645606.7020526
node24,172.19.0.11,b31337a0-96a4-4e13-b759-bb4101207e75,3,8,"{'temperature': 27.75, 'humidity': 57.15}",1746645606.8042097
node6,172.19.0.27,b31337a0-96a4-4e13-b759-bb4101207e75,3,8,"{'temperature': 27.75, 'humidity': 57.15}",1746645606.8044558
